,Name,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
784,GourgeistAverage Size,711-Avg,Ghost,Grass,494,65,90,122,58,75,84,6,False
785,GourgeistSmall Size,711-Sm,Ghost,Grass,494,55,85,122,58,75,99,6,False
786,GourgeistLarge Size,711-Lrg,Ghost,Grass,494,75,95,122,58,75,69,6,False
787,GourgeistSuper Size,711-Supr,Ghost,Grass,494,85,100,122,58,75,54,6,False
788,Bergmite,712,Ice,,304,55,69,85,32,35,28,6,False
789,Avalugg,713,Ice,,514,95,117,184,44,46,28,6,False
790,Noibat,714,Flying,Dragon,245,40,30,35,45,40,55,6,False
791,Noivern,715,Flying,Dragon,535,85,70,80,97,80,123,6,False
792,Xerneas,716,Fairy,,680,126,131,95,131,98,99,6,True
793,Yveltal,717,Dark,Flying,680,126,131,95,131,98,99,6,True
794,Zygarde50% Forme,718,Dragon,Ground,600,108,100,121,81,95,95,6,True
795,Diancie,719,Rock,Fairy,600,50,100,150,100,150,50,6,True
796,DiancieMega Diancie,719-mega,Rock,Fairy,700,50,160,110,160,110,110,6,True
797,HoopaHoopa Confined,720-confined,Psychic,Ghost,600,80,110,60,150,130,70,6,True
798,HoopaHoopa Unbound,720-unbound,Psychic,Dark,680,80,160,60,170,130,80,6,True
799,Volcanion,721,Fire,Water,600,80,110,120,130,90,70,6,True
